X,Y,Z,r,theta,phi,E_r,E_t,H_p
0.0,0.0,1.0,1.0,0.0,0.0,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.017453292519943295,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.03490658503988659,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.05235987755982989,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.06981317007977318,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.08726646259971647,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.10471975511965978,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.12217304763960307,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.13962634015954636,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.15707963267948966,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.17453292519943295,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.19198621771937624,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.20943951023931956,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.22689280275926285,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.24434609527920614,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.2617993877991494,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.2792526803190927,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.29670597283903605,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.3141592653589793,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.33161255787892263,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.3490658503988659,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.3665191429188092,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.3839724354387525,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.4014257279586958,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.4188790204786391,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.4363323129985824,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.4537856055185257,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.47123889803846897,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.4886921905584123,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.5061454830783556,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.5235987755982988,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.5410520681182421,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.5585053606381855,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.5759586531581288,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.5934119456780721,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.6108652381980153,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.6283185307179586,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.6457718232379019,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.6632251157578453,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.6806784082777885,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.6981317007977318,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.7155849933176751,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.7330382858376184,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.7504915783575618,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.767944870877505,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.7853981633974483,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.8028514559173916,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.8203047484373349,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.8377580409572782,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.8552113334772214,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.8726646259971648,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.8901179185171081,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.9075712110370514,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.9250245035569946,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.9424777960769379,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.9599310885968813,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.9773843811168246,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,0.9948376736367679,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.0122909661567112,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.0297442586766545,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.0471975511965976,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.064650843716541,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.0821041362364843,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.0995574287564276,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.117010721276371,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.1344640137963142,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.1519173063162575,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.1693705988362009,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.1868238913561442,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.2042771838760873,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.2217304763960306,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.239183768915974,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.2566370614359172,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.2740903539558606,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.2915436464758039,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.3089969389957472,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.3264502315156905,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.3439035240356338,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.361356816555577,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
0.0,0.0,1.0,1.0,0.0,1.3788101090755203,0j,(-0.06430746736870986-0.23246634376185313j),(-0.00017087012235249434-0.0006179011047829085j)
