X,Y,Z,r,theta,phi,E_r,E_t
0.0,0.0,1.0,1.0,0.0,0.4188790204786391,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.4363323129985824,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.4537856055185257,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.47123889803846897,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.4886921905584123,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.5061454830783556,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.5235987755982988,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.5410520681182421,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.5585053606381855,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.5759586531581288,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.5934119456780721,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.6108652381980153,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.6283185307179586,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.6457718232379019,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.6632251157578453,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.6806784082777885,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.6981317007977318,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.7155849933176751,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.7330382858376184,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.7504915783575618,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.767944870877505,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.7853981633974483,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.8028514559173916,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.8203047484373349,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.8377580409572782,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.8552113334772214,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.8726646259971648,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.8901179185171081,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.9075712110370514,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.9250245035569946,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.9424777960769379,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.9599310885968813,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.9773843811168246,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,0.9948376736367679,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.0122909661567112,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.0297442586766545,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.0471975511965976,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.064650843716541,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.0821041362364843,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.0995574287564276,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.117010721276371,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.1344640137963142,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.1519173063162575,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.1693705988362009,0j,(-0.06926651092006958-0.2503928890000739j)
